Year,Country,GDP per capita (current US$),"Life expectancy at birth, total (years)","Population, total",Country Code,Region,Income Group,Lending Type
2015,Albania,3952.80357364813,78.644,2880703.0,ALB,Europe & Central Asia,Upper middle income,IBRD
2016,Albania,4124.05538986272,78.86,2876101.0,ALB,Europe & Central Asia,Upper middle income,IBRD
2017,Albania,4531.03220675893,79.047,2873457.0,ALB,Europe & Central Asia,Upper middle income,IBRD
2018,Albania,5287.66080067575,79.184,2866376.0,ALB,Europe & Central Asia,Upper middle income,IBRD
2019,Albania,5396.2142432843,79.282,2854191.0,ALB,Europe & Central Asia,Upper middle income,IBRD
2020,Albania,5343.0377039956,76.989,2837849.0,ALB,Europe & Central Asia,Upper middle income,IBRD
2021,Albania,6377.20309553753,76.463,2811666.0,ALB,Europe & Central Asia,Upper middle income,IBRD
2022,Albania,6810.11404104233,,2777689.0,ALB,Europe & Central Asia,Upper middle income,IBRD
2004,Algeria,2624.79523151946,71.762,32510186.0,DZA,Middle East & North Africa,Lower middle income,IBRD
2005,Algeria,3131.32818989681,72.061,32956690.0,DZA,Middle East & North Africa,Lower middle income,IBRD
2006,Algeria,3500.13459382737,72.334,33435080.0,DZA,Middle East & North Africa,Lower middle income,IBRD
2007,Algeria,3971.80348828223,72.602,33983827.0,DZA,Middle East & North Africa,Lower middle income,IBRD
2008,Algeria,4946.56401720759,72.941,34569592.0,DZA,Middle East & North Africa,Lower middle income,IBRD
2009,Algeria,3898.47878787317,73.62,35196037.0,DZA,Middle East & North Africa,Lower middle income,IBRD
2010,Algeria,4495.92147563024,73.808,35856344.0,DZA,Middle East & North Africa,Lower middle income,IBRD
2011,Algeria,5473.28182611668,74.123,36543541.0,DZA,Middle East & North Africa,Lower middle income,IBRD
2012,Algeria,5610.73328198233,74.202,37260563.0,DZA,Middle East & North Africa,Lower middle income,IBRD
2013,Algeria,5519.77757552373,74.615,38000626.0,DZA,Middle East & North Africa,Lower middle income,IBRD
2014,Algeria,5516.22944039649,75.11,38760168.0,DZA,Middle East & North Africa,Lower middle income,IBRD
2015,Algeria,4197.41998491398,75.622,39543154.0,DZA,Middle East & North Africa,Lower middle income,IBRD
2016,Algeria,3967.20064743809,75.732,40339329.0,DZA,Middle East & North Africa,Lower middle income,IBRD
2017,Algeria,4134.93608656171,75.743,41136546.0,DZA,Middle East & North Africa,Lower middle income,IBRD
2018,Algeria,4171.79038755546,76.066,41927007.0,DZA,Middle East & North Africa,Lower middle income,IBRD
2019,Algeria,4021.9832660524,76.474,42705368.0,DZA,Middle East & North Africa,Lower middle income,IBRD
2020,Algeria,3354.15316371593,74.453,43451666.0,DZA,Middle East & North Africa,Lower middle income,IBRD
2021,Algeria,3700.31469728198,76.377,44177969.0,DZA,Middle East & North Africa,Lower middle income,IBRD
2022,Algeria,4342.63796796522,,44903225.0,DZA,Middle East & North Africa,Lower middle income,IBRD
2004,American Samoa,8832.81851941832,,57626.0,ASM,East Asia & Pacific,High income,Not classified
2005,American Samoa,8733.01428721137,,57254.0,ASM,East Asia & Pacific,High income,Not classified
2006,American Samoa,8673.92719531291,,56837.0,ASM,East Asia & Pacific,High income,Not classified
2007,American Samoa,9187.16634446553,,56383.0,ASM,East Asia & Pacific,High income,Not classified
2008,American Samoa,10019.502245442,,55891.0,ASM,East Asia & Pacific,High income,Not classified
2009,American Samoa,12191.5977314597,,55366.0,ASM,East Asia & Pacific,High income,Not classified
2010,American Samoa,10446.8632062572,,54849.0,ASM,East Asia & Pacific,High income,Not classified
2011,American Samoa,10495.3047320935,,54310.0,ASM,East Asia & Pacific,High income,Not classified
2012,American Samoa,11920.0610903131,,53691.0,ASM,East Asia & Pacific,High income,Not classified
2013,American Samoa,12038.8715916596,,52995.0,ASM,East Asia & Pacific,High income,Not classified
2014,American Samoa,12313.9973571825,,52217.0,ASM,East Asia & Pacific,High income,Not classified
2015,American Samoa,13101.5418159165,,51368.0,ASM,East Asia & Pacific,High income,Not classified
2016,American Samoa,13300.8246114811,,50448.0,ASM,East Asia & Pacific,High income,Not classified
2017,American Samoa,12372.8847825647,,49463.0,ASM,East Asia & Pacific,High income,Not classified
2018,American Samoa,13195.9358995539,,48424.0,ASM,East Asia & Pacific,High income,Not classified
2019,American Samoa,13672.576657298,,47321.0,ASM,East Asia & Pacific,High income,Not classified
2020,American Samoa,15609.7772196843,,46189.0,ASM,East Asia & Pacific,High income,Not classified
2021,American Samoa,16653.7137781725,,45035.0,ASM,East Asia & Pacific,High income,Not classified
2022,American Samoa,19673.3901023197,,44273.0,ASM,East Asia & Pacific,High income,Not classified
2004,Andorra,37630.7642639554,,76933.0,AND,Europe & Central Asia,High income,Not classified
2005,Andorra,39583.9311942065,,79826.0,AND,Europe & Central Asia,High income,Not classified
2006,Andorra,43084.283724089,,80221.0,AND,Europe & Central Asia,High income,Not classified
2007,Andorra,50562.8266054777,,78168.0,AND,Europe & Central Asia,High income,Not classified
2008,Andorra,53721.3885067173,,76055.0,AND,Europe & Central Asia,High income,Not classified
2009,Andorra,49750.7185512247,,73852.0,AND,Europe & Central Asia,High income,Not classified
2010,Andorra,48237.8905407208,,71519.0,AND,Europe & Central Asia,High income,Not classified
2011,Andorra,51428.1896998835,,70567.0,AND,Europe & Central Asia,High income,Not classified
2012,Andorra,44902.38771225,,71013.0,AND,Europe & Central Asia,High income,Not classified
2013,Andorra,44747.7611562684,,71367.0,AND,Europe & Central Asia,High income,Not classified
2014,Andorra,45680.5469412164,,71621.0,AND,Europe & Central Asia,High income,Not classified
2015,Andorra,38885.5485894753,,71746.0,AND,Europe & Central Asia,High income,Not classified
2016,Andorra,39931.2362644858,,72540.0,AND,Europe & Central Asia,High income,Not classified
2017,Andorra,40632.2089824607,,73837.0,AND,Europe & Central Asia,High income,Not classified
2018,Andorra,42904.8115883352,,75013.0,AND,Europe & Central Asia,High income,Not classified
2019,Andorra,41328.6123929102,,76343.0,AND,Europe & Central Asia,High income,Not classified
2020,Andorra,37207.2388711909,,77700.0,AND,Europe & Central Asia,High income,Not classified
2021,Andorra,42072.3194231234,,79034.0,AND,Europe & Central Asia,High income,Not classified
2022,Andorra,41992.7727779758,,79824.0,AND,Europe & Central Asia,High income,Not classified
2004,Angola,1254.69612612243,50.592,18771125.0,AGO,Sub-Saharan Africa ,Lower middle income,IBRD
2005,Angola,1900.72381643441,51.57,19450959.0,AGO,Sub-Saharan Africa ,Lower middle income,IBRD
2006,Angola,2597.96358469905,52.369,20162340.0,AGO,Sub-Saharan Africa ,Lower middle income,IBRD
2007,Angola,3121.34873520681,53.642,20909684.0,AGO,Sub-Saharan Africa ,Lower middle income,IBRD
2008,Angola,4081.71749701404,54.633,21691522.0,AGO,Sub-Saharan Africa ,Lower middle income,IBRD
2009,Angola,3123.69889816812,55.752,22507674.0,AGO,Sub-Saharan Africa ,Lower middle income,IBRD
2010,Angola,3586.66368031755,56.726,23364185.0,AGO,Sub-Saharan Africa ,Lower middle income,IBRD
2011,Angola,4608.15516572683,57.596,24259111.0,AGO,Sub-Saharan Africa ,Lower middle income,IBRD
2012,Angola,5083.82685110166,58.623,25188292.0,AGO,Sub-Saharan Africa ,Lower middle income,IBRD
2013,Angola,5061.34924028416,59.307,26147002.0,AGO,Sub-Saharan Africa ,Lower middle income,IBRD
2014,Angola,5011.98441159671,60.04,27128337.0,AGO,Sub-Saharan Africa ,Lower middle income,IBRD
2015,Angola,3217.33924430561,60.655,28127721.0,AGO,Sub-Saharan Africa ,Lower middle income,IBRD
2016,Angola,1809.70937719455,61.092,29154746.0,AGO,Sub-Saharan Africa ,Lower middle income,IBRD
2017,Angola,2439.37444118796,61.68,30208628.0,AGO,Sub-Saharan Africa ,Lower middle income,IBRD
2018,Angola,2540.50887797043,62.144,31273533.0,AGO,Sub-Saharan Africa ,Lower middle income,IBRD
2019,Angola,2191.34776373555,62.448,32353588.0,AGO,Sub-Saharan Africa ,Lower middle income,IBRD
2020,Angola,1450.90511218489,62.261,33428486.0,AGO,Sub-Saharan Africa ,Lower middle income,IBRD
2021,Angola,1927.47407832091,61.643,34503774.0,AGO,Sub-Saharan Africa ,Lower middle income,IBRD
2022,Angola,3000.44423053173,,35588987.0,AGO,Sub-Saharan Africa ,Lower middle income,IBRD
2004,Antigua and Barbuda,11650.8484770858,75.672,78941.0,ATG,Latin America & Caribbean ,High income,IBRD
2005,Antigua and Barbuda,12808.0101536637,75.825,79869.0,ATG,Latin America & Caribbean ,High income,IBRD
2006,Antigua and Barbuda,14310.6862347854,75.765,80895.0,ATG,Latin America & Caribbean ,High income,IBRD
2007,Antigua and Barbuda,16006.1361107498,76.131,82016.0,ATG,Latin America & Caribbean ,High income,IBRD
2008,Antigua and Barbuda,16457.1040632589,76.41,83251.0,ATG,Latin America & Caribbean ,High income,IBRD
2009,Antigua and Barbuda,14530.5986896353,76.669,84534.0,ATG,Latin America & Caribbean ,High income,IBRD
2010,Antigua and Barbuda,13404.5160161036,76.82,85695.0,ATG,Latin America & Caribbean ,High income,IBRD
2011,Antigua and Barbuda,14774.0321811278,77.104,86729.0,ATG,Latin America & Caribbean ,High income,IBRD
2012,Antigua and Barbuda,15136.8411091932,77.35,87674.0,ATG,Latin America & Caribbean ,High income,IBRD
2013,Antigua and Barbuda,14977.0718321065,77.583,88497.0,ATG,Latin America & Caribbean ,High income,IBRD
2014,Antigua and Barbuda,15451.4952444039,77.858,89236.0,ATG,Latin America & Caribbean ,High income,IBRD
2015,Antigua and Barbuda,15985.5411386971,77.913,89941.0,ATG,Latin America & Caribbean ,High income,IBRD
2016,Antigua and Barbuda,16449.0591470407,78.152,90564.0,ATG,Latin America & Caribbean ,High income,IBRD
2017,Antigua and Barbuda,16803.8702340001,78.268,91119.0,ATG,Latin America & Caribbean ,High income,IBRD
2018,Antigua and Barbuda,18133.8226008953,78.511,91626.0,ATG,Latin America & Caribbean ,High income,IBRD
2019,Antigua and Barbuda,18730.0047966374,78.691,92117.0,ATG,Latin America & Caribbean ,High income,IBRD
2020,Antigua and Barbuda,15224.8585890561,78.841,92664.0,ATG,Latin America & Caribbean ,High income,IBRD
2021,Antigua and Barbuda,17178.5437160522,78.497,93219.0,ATG,Latin America & Caribbean ,High income,IBRD
2022,Antigua and Barbuda,19919.7266867883,,93763.0,ATG,Latin America & Caribbean ,High income,IBRD
2004,Argentina,4258.16026060875,74.855,38668796.0,ARG,Latin America & Caribbean ,Upper middle income,IBRD
2005,Argentina,5086.62776073134,75.139,39070501.0,ARG,Latin America & Caribbean ,Upper middle income,IBRD
2006,Argentina,5890.97800169795,75.433,39476851.0,ARG,Latin America & Caribbean ,Upper middle income,IBRD
2007,Argentina,7210.59554755899,75.006,39876111.0,ARG,Latin America & Caribbean ,Upper middle income,IBRD
2008,Argentina,8977.50685093365,75.641,40273769.0,ARG,Latin America & Caribbean ,Upper middle income,IBRD
2009,Argentina,8184.38988923991,75.936,40684338.0,ARG,Latin America & Caribbean ,Upper middle income,IBRD
2010,Argentina,10385.9644319555,75.721,40788453.0,ARG,Latin America & Caribbean ,Upper middle income,IBRD
2011,Argentina,12848.7391514568,76.124,41261490.0,ARG,Latin America & Caribbean ,Upper middle income,IBRD
2012,Argentina,13082.664325572,76.467,41733271.0,ARG,Latin America & Caribbean ,Upper middle income,IBRD
2013,Argentina,13080.2547323367,76.491,42202935.0,ARG,Latin America & Caribbean ,Upper middle income,IBRD
2014,Argentina,12334.7982453893,76.755,42669500.0,ARG,Latin America & Caribbean ,Upper middle income,IBRD
2015,Argentina,13789.060424772,76.76,43131966.0,ARG,Latin America & Caribbean ,Upper middle income,IBRD
2016,Argentina,12790.2641396135,76.308,43590368.0,ARG,Latin America & Caribbean ,Upper middle income,IBRD
2017,Argentina,14613.0356486571,76.833,44044811.0,ARG,Latin America & Caribbean ,Upper middle income,IBRD
2018,Argentina,11795.1627452798,76.999,44494502.0,ARG,Latin America & Caribbean ,Upper middle income,IBRD
2019,Argentina,9963.67416171662,77.284,44938712.0,ARG,Latin America & Caribbean ,Upper middle income,IBRD
2020,Argentina,8500.83793850534,75.892,45376763.0,ARG,Latin America & Caribbean ,Upper middle income,IBRD
2021,Argentina,10650.8604604345,75.39,45808747.0,ARG,Latin America & Caribbean ,Upper middle income,IBRD
2022,Argentina,13650.6046294524,,46234830.0,ARG,Latin America & Caribbean ,Upper middle income,IBRD
2004,Armenia,1166.63820390025,71.421,3065745.0,ARM,Europe & Central Asia,Upper middle income,IBRD
2005,Armenia,1608.16340758242,71.792,3047246.0,ARM,Europe & Central Asia,Upper middle income,IBRD
2006,Armenia,2109.5263835731,71.987,3026486.0,ARM,Europe & Central Asia,Upper middle income,IBRD
2007,Armenia,3064.27996263859,72.327,3004393.0,ARM,Europe & Central Asia,Upper middle income,IBRD
2008,Armenia,3908.94906011431,72.398,2983421.0,ARM,Europe & Central Asia,Upper middle income,IBRD
2009,Armenia,2917.36624185176,72.813,2964296.0,ARM,Europe & Central Asia,Upper middle income,IBRD
2010,Armenia,3143.0294799683,73.16,2946293.0,ARM,Europe & Central Asia,Upper middle income,IBRD
2011,Armenia,3462.68177840431,73.305,2928976.0,ARM,Europe & Central Asia,Upper middle income,IBRD
2012,Armenia,3643.71540108565,73.454,2914421.0,ARM,Europe & Central Asia,Upper middle income,IBRD
2013,Armenia,3833.15707396348,73.676,2901385.0,ARM,Europe & Central Asia,Upper middle income,IBRD
2014,Armenia,4017.22991449473,74.058,2889930.0,ARM,Europe & Central Asia,Upper middle income,IBRD
2015,Armenia,3666.14182210905,74.436,2878595.0,ARM,Europe & Central Asia,Upper middle income,IBRD
2016,Armenia,3679.95234740376,74.664,2865835.0,ARM,Europe & Central Asia,Upper middle income,IBRD
2017,Armenia,4041.99507105058,74.906,2851923.0,ARM,Europe & Central Asia,Upper middle income,IBRD
2018,Armenia,4391.92326991474,75.064,2836557.0,ARM,Europe & Central Asia,Upper middle income,IBRD
2019,Armenia,4828.50488626598,75.439,2820602.0,ARM,Europe & Central Asia,Upper middle income,IBRD
2020,Armenia,4505.86774175695,72.173,2805608.0,ARM,Europe & Central Asia,Upper middle income,IBRD
2021,Armenia,4972.78320361917,72.043,2790974.0,ARM,Europe & Central Asia,Upper middle income,IBRD
2022,Armenia,7018.05150434798,,2780469.0,ARM,Europe & Central Asia,Upper middle income,IBRD
2004,Aruba,24105.5241207717,73.576,93540.0,ABW,Latin America & Caribbean ,High income,Not classified
2005,Aruba,24978.2216741187,73.811,94483.0,ABW,Latin America & Caribbean ,High income,Not classified
2006,Aruba,25832.9255649671,74.026,95606.0,ABW,Latin America & Caribbean ,High income,Not classified
2007,Aruba,27665.2994801174,74.21,96787.0,ABW,Latin America & Caribbean ,High income,Not classified
2008,Aruba,29011.6390567532,74.147,97996.0,ABW,Latin America & Caribbean ,High income,Not classified
2009,Aruba,25740.7702303087,74.56,99212.0,ABW,Latin America & Caribbean ,High income,Not classified
2010,Aruba,24452.5887394376,75.404,100341.0,ABW,Latin America & Caribbean ,High income,Not classified
2011,Aruba,26043.1563253011,75.465,101288.0,ABW,Latin America & Caribbean ,High income,Not classified
2012,Aruba,25611.1757666902,75.531,102112.0,ABW,Latin America & Caribbean ,High income,Not classified
2013,Aruba,26514.8689800777,75.636,102880.0,ABW,Latin America & Caribbean ,High income,Not classified
2014,Aruba,26940.2641144313,75.601,103594.0,ABW,Latin America & Caribbean ,High income,Not classified
2015,Aruba,28419.2645344661,75.683,104257.0,ABW,Latin America & Caribbean ,High income,Not classified
2016,Aruba,28449.7129463044,75.617,104874.0,ABW,Latin America & Caribbean ,High income,Not classified
2017,Aruba,29329.0817465959,75.903,105439.0,ABW,Latin America & Caribbean ,High income,Not classified
2018,Aruba,30918.483584133,76.072,105962.0,ABW,Latin America & Caribbean ,High income,Not classified
2019,Aruba,31902.8098183195,76.248,106442.0,ABW,Latin America & Caribbean ,High income,Not classified
2020,Aruba,24008.1278217477,75.723,106585.0,ABW,Latin America & Caribbean ,High income,Not classified
2021,Aruba,29127.7593841909,74.626,106537.0,ABW,Latin America & Caribbean ,High income,Not classified
2022,Aruba,33300.8388187011,,106445.0,ABW,Latin America & Caribbean ,High income,Not classified
2004,Australia,30836.7306824685,80.490243902439,19932722.0,AUS,East Asia & Pacific,High income,Not classified
2005,Australia,34479.7679298388,80.8414634146341,20176844.0,AUS,East Asia & Pacific,High income,Not classified
2006,Australia,36595.7071548423,81.0414634146342,20450966.0,AUS,East Asia & Pacific,High income,Not classified
2007,Australia,41051.6120652288,81.2926829268293,20827622.0,AUS,East Asia & Pacific,High income,Not classified
2008,Australia,49701.2817843335,81.3951219512195,21249199.0,AUS,East Asia & Pacific,High income,Not classified
2009,Australia,42816.5674002829,81.5439024390244,21691653.0,AUS,East Asia & Pacific,High income,Not classified
2010,Australia,52147.0241942843,81.6951219512195,22031750.0,AUS,East Asia & Pacific,High income,Not classified
2011,Australia,62609.6607161044,81.8951219512195,22340024.0,AUS,East Asia & Pacific,High income,Not classified
2012,Australia,68078.0442283168,82.0463414634146,22733465.0,AUS,East Asia & Pacific,High income,Not classified
2013,Australia,68198.4193446869,82.1487804878049,23128129.0,AUS,East Asia & Pacific,High income,Not classified
2014,Australia,62558.2438786332,82.3,23475686.0,AUS,East Asia & Pacific,High income,Not classified
2015,Australia,56758.8692027821,82.4,23815995.0,AUS,East Asia & Pacific,High income,Not classified
2016,Australia,49918.7939327254,82.4487804878049,24190907.0,AUS,East Asia & Pacific,High income,Not classified
2017,Australia,53954.553494614,82.5,24592588.0,AUS,East Asia & Pacific,High income,Not classified
2018,Australia,57273.5204750079,82.7487804878049,24963258.0,AUS,East Asia & Pacific,High income,Not classified
2019,Australia,55049.571919719,82.9,25334826.0,AUS,East Asia & Pacific,High income,Not classified
2020,Australia,51868.2475567823,83.2,25649248.0,AUS,East Asia & Pacific,High income,Not classified
2021,Australia,60697.2454358579,83.3,25685412.0,AUS,East Asia & Pacific,High income,Not classified
2022,Australia,65099.8459118981,,26005540.0,AUS,East Asia & Pacific,High income,Not classified
2004,Austria,36889.2335135194,79.1804878048781,8171966.0,AUT,Europe & Central Asia,High income,Not classified
2005,Austria,38417.4577857677,79.3317073170732,8227829.0,AUT,Europe & Central Asia,High income,Not classified
2006,Austria,40669.3269586152,79.8804878048781,8268641.0,AUT,Europe & Central Asia,High income,Not classified
2007,Austria,46915.3374004507,80.1804878048781,8295487.0,AUT,Europe & Central Asia,High income,Not classified
2008,Austria,51919.9835754226,80.4317073170732,8321496.0,AUT,Europe & Central Asia,High income,Not classified
2009,Austria,48153.3240199631,80.3317073170732,8343323.0,AUT,Europe & Central Asia,High income,Not classified
2010,Austria,46903.7615854343,80.5804878048781,8363404.0,AUT,Europe & Central Asia,High income,Not classified
2011,Austria,51442.2762464407,80.9829268292683,8391643.0,AUT,Europe & Central Asia,High income,Not classified
2012,Austria,48564.9173350875,80.9365853658537,8429991.0,AUT,Europe & Central Asia,High income,Not classified
2013,Austria,50731.1272541847,81.1365853658537,8479823.0,AUT,Europe & Central Asia,High income,Not classified
2014,Austria,51786.3771747905,81.490243902439,8546356.0,AUT,Europe & Central Asia,High income,Not classified
2015,Austria,44195.8175947748,81.190243902439,8642699.0,AUT,Europe & Central Asia,High income,Not classified
2016,Austria,45307.5878620429,81.6414634146342,8736668.0,AUT,Europe & Central Asia,High income,Not classified
2017,Austria,47429.1584564387,81.6439024390244,8797566.0,AUT,Europe & Central Asia,High income,Not classified
2018,Austria,51466.5565633634,81.6926829268293,8840521.0,AUT,Europe & Central Asia,High income,Not classified
2019,Austria,50067.5857265892,81.8951219512195,8879920.0,AUT,Europe & Central Asia,High income,Not classified
2020,Austria,48789.4978498872,81.1926829268293,8916864.0,AUT,Europe & Central Asia,High income,Not classified
2021,Austria,53517.8904509612,81.2390243902439,8955797.0,AUT,Europe & Central Asia,High income,Not classified
2022,Austria,52084.6811953372,,9041851.0,AUT,Europe & Central Asia,High income,Not classified
2004,Azerbaijan,1045.0136328106,67.346,8306500.0,AZE,Europe & Central Asia,Upper middle income,IBRD
2005,Azerbaijan,1578.36733030667,67.562,8391850.0,AZE,Europe & Central Asia,Upper middle income,IBRD
2006,Azerbaijan,2472.95725732287,68.165,8484550.0,AZE,Europe & Central Asia,Upper middle income,IBRD
2007,Azerbaijan,3851.33015175141,68.603,8581300.0,AZE,Europe & Central Asia,Upper middle income,IBRD
2008,Azerbaijan,5574.46810432575,68.811,8763400.0,AZE,Europe & Central Asia,Upper middle income,IBRD
2009,Azerbaijan,4950.39949009423,69.356,8947243.0,AZE,Europe & Central Asia,Upper middle income,IBRD
2010,Azerbaijan,5843.5337683582,69.529,9054332.0,AZE,Europe & Central Asia,Upper middle income,IBRD
2011,Azerbaijan,7189.81869211976,69.984,9173082.0,AZE,Europe & Central Asia,Upper middle income,IBRD
2012,Azerbaijan,7495.86527658099,70.36,9295784.0,AZE,Europe & Central Asia,Upper middle income,IBRD
2013,Azerbaijan,7875.34536661549,70.881,9416801.0,AZE,Europe & Central Asia,Upper middle income,IBRD
2014,Azerbaijan,7890.84028062087,71.116,9535079.0,AZE,Europe & Central Asia,Upper middle income,IBRD
2015,Azerbaijan,5500.50364628486,71.451,9649341.0,AZE,Europe & Central Asia,Upper middle income,IBRD
2016,Azerbaijan,3880.6852276838,72.004,9757812.0,AZE,Europe & Central Asia,Upper middle income,IBRD
2017,Azerbaijan,4147.1981423222,72.248,9854033.0,AZE,Europe & Central Asia,Upper middle income,IBRD
2018,Azerbaijan,4739.7943123408,72.76,9939771.0,AZE,Europe & Central Asia,Upper middle income,IBRD
2019,Azerbaijan,4805.75371765917,73.102,10024283.0,AZE,Europe & Central Asia,Upper middle income,IBRD
2020,Azerbaijan,4229.91064904503,66.868,10093121.0,AZE,Europe & Central Asia,Upper middle income,IBRD
2021,Azerbaijan,5408.04535175023,69.366,10137750.0,AZE,Europe & Central Asia,Upper middle income,IBRD
2022,Azerbaijan,7762.0738285884,,10141756.0,AZE,Europe & Central Asia,Upper middle income,IBRD
2004,"Bahamas, The",26393.4139538137,72.478,343089.0,BHS,Latin America & Caribbean ,High income,Not classified
2005,"Bahamas, The",28280.870835298,72.765,347804.0,BHS,Latin America & Caribbean ,High income,Not classified
2006,"Bahamas, The",28829.8493750425,72.855,352664.0,BHS,Latin America & Caribbean ,High income,Not classified
2007,"Bahamas, The",29687.865215033,72.678,357666.0,BHS,Latin America & Caribbean ,High income,Not classified
2008,"Bahamas, The",29013.6302870767,72.667,362795.0,BHS,Latin America & Caribbean ,High income,Not classified
2009,"Bahamas, The",27120.6905452145,72.579,368057.0,BHS,Latin America & Caribbean ,High income,Not classified
2010,"Bahamas, The",27046.6576651879,72.731,373272.0,BHS,Latin America & Caribbean ,High income,Not classified
2011,"Bahamas, The",26644.9265775896,72.564,377950.0,BHS,Latin America & Caribbean ,High income,Not classified
2012,"Bahamas, The",28059.3936570338,72.753,382061.0,BHS,Latin America & Caribbean ,High income,Not classified
2013,"Bahamas, The",26955.7889277843,73.024,385650.0,BHS,Latin America & Caribbean ,High income,Not classified
2014,"Bahamas, The",28203.3556822767,73.366,389131.0,BHS,Latin America & Caribbean ,High income,Not classified
2015,"Bahamas, The",29724.9533355233,73.104,392697.0,BHS,Latin America & Caribbean ,High income,Not classified
2016,"Bahamas, The",29675.5358910641,73.537,395976.0,BHS,Latin America & Caribbean ,High income,Not classified
2017,"Bahamas, The",30708.9870181946,73.632,399020.0,BHS,Latin America & Caribbean ,High income,Not classified
2018,"Bahamas, The",31483.9788408235,73.806,401906.0,BHS,Latin America & Caribbean ,High income,Not classified
2019,"Bahamas, The",32279.0113630465,71.205,404557.0,BHS,Latin America & Caribbean ,High income,Not classified
2020,"Bahamas, The",23998.2680191207,72.677,406471.0,BHS,Latin America & Caribbean ,High income,Not classified
2021,"Bahamas, The",28260.4325506367,71.598,407906.0,BHS,Latin America & Caribbean ,High income,Not classified
2022,"Bahamas, The",31458.300811739,,409984.0,BHS,Latin America & Caribbean ,High income,Not classified
2004,Bahrain,15777.9636408956,76.56,833451.0,BHR,Middle East & North Africa,High income,Not classified
2005,Bahrain,17705.235163895,76.931,901921.0,BHR,Middle East & North Africa,High income,Not classified
2006,Bahrain,19057.7989047138,77.156,970981.0,BHR,Middle East & North Africa,High income,Not classified
2007,Bahrain,20883.5480311994,77.634,1040532.0,BHR,Middle East & North Africa,High income,Not classified
2008,Bahrain,23155.821449155,78.084,1110343.0,BHR,Middle East & North Africa,High income,Not classified
2009,Bahrain,19448.1832553789,78.461,1179453.0,BHR,Middle East & North Africa,High income,Not classified
2010,Bahrain,21186.8143292279,78.748,1213645.0,BHR,Middle East & North Africa,High income,Not classified
2011,Bahrain,23741.5574626702,78.89,1212077.0,BHR,Middle East & North Africa,High income,Not classified
2012,Bahrain,25102.726348527,79.081,1224939.0,BHR,Middle East & North Africa,High income,Not classified
2013,Bahrain,25790.7303121382,79.246,1261673.0,BHR,Middle East & North Africa,High income,Not classified
